epoch,loss
1,9.44E-01
2,9.28E-01
3,8.94E-01
4,8.34E-01
5,7.58E-01
6,6.15E-01
7,4.68E-01
8,4.52E-01
9,3.23E-01
10,3.02E-01
11,2.57E-01
12,2.49E-01
13,2.24E-01
14,2.10E-01
15,2.49E-01
16,2.14E-01
17,1.85E-01
18,1.90E-01
19,2.14E-01
20,2.08E-01
21,1.78E-01
22,1.68E-01
23,1.69E-01
24,1.66E-01
25,1.58E-01
26,1.59E-01
27,1.75E-01
28,1.62E-01
29,1.57E-01
30,1.90E-01
31,1.70E-01
32,1.58E-01
33,1.58E-01
34,1.53E-01
35,1.54E-01
36,1.50E-01
37,1.59E-01
38,1.50E-01
39,1.48E-01
40,1.47E-01
41,1.44E-01
42,1.45E-01
43,1.43E-01
44,1.42E-01
45,1.41E-01
46,1.37E-01
47,1.41E-01
48,1.38E-01
49,1.53E-01
50,1.36E-01
51,1.35E-01
52,1.37E-01
53,1.33E-01
54,1.38E-01
55,1.35E-01
56,1.35E-01
57,1.38E-01
58,1.33E-01
59,1.34E-01
60,1.33E-01
61,1.33E-01
62,1.31E-01
63,1.32E-01
64,1.30E-01
65,1.29E-01
66,1.29E-01
67,1.28E-01
68,1.29E-01
69,1.27E-01
70,1.26E-01
71,1.31E-01
72,1.27E-01
73,1.25E-01
74,1.26E-01
75,1.29E-01
76,1.27E-01
77,1.24E-01
78,1.25E-01
79,1.31E-01
80,1.26E-01
81,1.23E-01
82,1.27E-01
83,1.23E-01
84,1.24E-01
85,1.24E-01
86,1.24E-01
87,1.23E-01
88,1.25E-01
89,1.22E-01
90,1.26E-01
91,1.27E-01
92,1.21E-01
93,1.23E-01
94,1.21E-01
95,1.19E-01
96,1.19E-01
97,1.24E-01
98,1.23E-01
99,1.23E-01
100,1.21E-01
101,1.19E-01
102,1.19E-01
103,1.18E-01
104,1.23E-01
105,1.21E-01
106,1.21E-01
107,1.20E-01
108,1.20E-01
109,1.18E-01
110,1.21E-01
111,1.20E-01
112,1.17E-01
113,1.18E-01
114,1.17E-01
115,1.22E-01
116,1.18E-01
117,1.20E-01
118,1.19E-01
119,1.17E-01
120,1.20E-01
121,1.18E-01
122,1.17E-01
123,1.16E-01
124,1.16E-01
125,1.15E-01
126,1.15E-01
127,1.15E-01
128,1.15E-01
129,1.16E-01
130,1.17E-01
131,1.15E-01
132,1.15E-01
133,1.15E-01
134,1.17E-01
135,1.39E-01
136,1.14E-01
137,1.15E-01
138,1.13E-01
139,1.15E-01
140,1.13E-01
141,1.15E-01
142,1.13E-01
143,1.14E-01
144,1.14E-01
145,1.17E-01
146,1.13E-01
147,1.12E-01
148,1.12E-01
149,1.13E-01
150,1.12E-01
